And another shooting... https://t.co/aYfTWoR7QJ,carolynklimp1
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,TeresaL93097940
One man was killed and another man was critically injured in a shooting outside an elementary school in the Kansas… https://t.co/4XxD9naLtq,abc27
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,RedWineTCO
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,JordanMason1
Are people going mad? https://t.co/kgSVj9Yy0K,My_Say_65
America — cuz where else would you expect to have a school shooting during summer vacation. https://t.co/Lm6YKx14nJ,TheScottCharles
RT @ABCWorldNews: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokes…,MosheKravitz
RT @becher_casey: Another school shooting. This is about 1.5 miles from our old house. @casforachange used to have soccer practice at Sunri…,ReadySetRock75
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,MaryAnneGruen
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,anne_barbano
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,MaryAnneGruen
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,MaryAnneGruen
RT @becher_casey: Another school shooting. This is about 1.5 miles from our old house. @casforachange used to have soccer practice at Sunri…,yourwcwx
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,lovinabox
RT @ABC: JUST IN: Suspect in shooting at Kansas elementary school in custody  police say; no injuries to officers or suspect. https://t.co/…,keishi59
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,keishi59
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,skyjones55
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,TeresaL93097940
UPDATE: Suspect Arrested in Kansas Elementary School Shooting - https://t.co/61X85ITv54,deenie7940
RT @abc27: One man was killed and another man was critically injured in a shooting outside an elementary school in the Kansas City metro ar…,JonathanFarris0
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,jessheartedward
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,nebulouswonder
RT @ABCWorldNews: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say.…,reigns_allison
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,TWEEDY79722230
Overland Park  Kansas shooting: Two workers critically wounded outside elementary school https://t.co/wnuQNyTWzY TH… https://t.co/0r30mt75qY,dharrisday
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,lkaz12
Suspect must be white - he’s not dead https://t.co/aLU6QHpij4,Ctess49
RT @ABC: DEVELOPING: Two workers in critical condition after shooting at elementary school in Overland Park  Kansas  police spokesperson sa…,JackJackson2355
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,JackJackson2355
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,trobin42
Suspect arrested in shooting of 2 construction workers at Kansas school https://t.co/vT27XzCEQr,UrsulaRooth
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,TheFknLizrdKing
RT @TheScottCharles: America — cuz where else would you expect to have a school shooting during summer vacation. https://t.co/Lm6YKx14nJ,kellyf1231
RT @9NEWS: Two contractors critically wounded in Kansas school shooting https://t.co/JByTPoLUeX https://t.co/Wlagl66D9N,SERVPROhr
RT @AlBoeNEWS: #BREAKING: Arrest made in fatal shooting at elementary school in Kansas https://t.co/MrpwsM7Mju,LBoogy31
RT @9NEWS: Two contractors critically wounded in Kansas school shooting https://t.co/JByTPoLUeX https://t.co/Wlagl66D9N,SPEnglewood
RT @CBSNews: DEVELOPING: Police say they are responding to reports of a double shooting at an elementary school in Overland Park  Kansas; n…,bride720
RT @ABC: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say. https://t…,ReadySetRock75
@JustinWLOS https://t.co/LUO3xbSNwV,weener67
RT @ABCWorldNews: MORE: One victim has died  second victim in critical condition from shooting at Kansas elementary school  officials say.…,truthseekingiam
